Exp,s,block,cond,mental,physical,temporal,performance,effort,frustration,mean_v.C,mean_v.N,mean_v.Cerr,mean_v.Nerr,mean_v.P,diff.C,diff.N,sum.C,sum.N,sum
E1,34,Control,B,13,1,16,4,16,11,1.03346,1.4245465,0.39149982,-0.44447852,,0.64196018,1.86902502,1.42495982,0.98006798,2.4050278
E1,34,Control,C,14,1,12,3,14,11,1.1523113,1.6359462,0.19559766,-1.73628611,,0.95671364,3.37223231,1.34790896,-0.10033991,1.24756905
E1,34,Control,D,16,1,17,7,19,13,1.2949845,1.8088073,0.941603594,0.4141528,,0.353380906,1.3946545,2.236588094,2.2229601,4.459548194
E1,34,PM,A,10,1,11,3,13,7,1.2508029,1.38435258,0.3094448,0.17843313,2.0797792,0.9413581,1.20591945,1.5602477,1.56278571,5.20281261
E1,34,PM,B,15,1,20,6,19,13,1.880608,1.5149693,0.7089097,1.20635928,0.9036767,1.1716983,0.30861002,2.5895177,2.72132858,6.21452298
E1,34,PM,C,17,1,16,5,19,15,1.2979635,1.588052,0.52040679,0.55279089,2.38988126,0.77755671,1.03526111,1.81837029,2.14084289,6.34909444
E1,34,PM,D,20,1,20,11,20,18,1.7731772,2.2215813,1.3629108,1.2033534,2.67988971,0.4102664,1.0182279,3.136088,3.4249347,9.24091241
E1,35,Control,A,12,3,8,6,10.5,9,1.2552344,1.2288507,0.79373209,-1.32214319,,0.46150231,2.55099389,2.04896649,-0.09329249,1.955674
E1,35,Control,B,11.5,3,12.5,13,14.5,10.5,1.1869486,1.331353,0.90344582,-0.46108441,,0.28350278,1.79243741,2.09039442,0.87026859,2.96066301
E1,35,Control,C,8,2.5,5,6,7,6,1.1782637,1.2103869,0.59216929,-1.02364662,,0.58609441,2.23403352,1.77043299,0.18674028,1.95717327
E1,35,Control,D,13.5,3.5,13.5,10,14,12,1.9443937,2.1820124,1.609451389,0.5634901,,0.334942311,1.6185223,3.553845089,2.7455025,6.299347589
E1,35,PM,A,12,3,6,5,12,8,1.2415615,1.33418429,0.89071626,-2.38769026,2.7483764,0.35084524,3.72187455,2.13227776,-1.05350597,3.82714819
E1,35,PM,B,18,3.5,13.5,11,19,13,1.0759343,1.3551903,1.1069299,-1.0227278,1.319236,-0.0309956,2.3779181,2.1828642,0.3324625,3.8345627
E1,35,PM,C,10.5,3,6,9,8,13,1.03108,1.504647,0.95953428,-1.22221128,2.93398942,0.07154572,2.72685828,1.99061428,0.28243572,5.20703942
E1,35,PM,D,19,5.5,19,7,20,14,2.4227318,2.1603852,1.6144979,1.2990827,2.49756032,0.8082339,0.8613025,4.0372297,3.4594679,9.99425792
E1,36,Control,A,10.5,9.5,10.5,13,13.5,9.5,1.1399254,1.7865316,1.25514953,-0.36381166,,-0.11522413,2.15034326,2.39507493,1.42271994,3.81779487
E1,36,Control,B,15.5,14.5,16.5,16.5,16.5,15.5,1.0497313,1.7722417,1.1519127,-0.54588546,,-0.1021814,2.31812716,2.201644,1.22635624,3.42800024
E1,36,Control,C,12.5,11.5,14.5,9.5,9.5,13.5,1.2021211,1.3955381,1.10664442,0.25786126,,0.09547668,1.13767684,2.30876552,1.65339936,3.96216488
E1,36,Control,D,14.5,14.5,17.5,13.5,16.5,18.5,1.0782814,2.1500905,1.861446162,0.2375352,,-0.783164762,1.9125553,2.939727562,2.3876257,5.327353262
E1,36,PM,A,10.5,9.5,9.5,12.5,10.5,12.5,1.2970009,1.52995712,1.14023682,0.04471896,3.4581429,0.15676408,1.48523816,2.43723772,1.57467608,7.4700567
E1,36,PM,B,17.5,13.5,19.5,11.5,19.5,16.5,1.2938464,1.3741749,1.0010231,0.15915967,2.2582989,0.2928233,1.21501523,2.2948695,1.53333457,6.08650297
E1,36,PM,C,13.5,12.5,12.5,17,13.5,11.5,1.1056598,1.428954,1.11228481,-0.04200175,1.92679695,-0.00662501,1.47095575,2.21794461,1.38695225,5.53169381
